experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType	messageType	uttClass
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	Ollers can have purple, orange, or white bodies	15.991	chatMessage	I	G
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	ok what else	4.6419999999999995	chatMessage	F	?
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	purple ollers all have 2 white body stripes, a white tail stripe, whiskers, andsome have fangs, some do not	46.308	chatMessage	F	Q
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	the easiest to identify are the ones that are completely white	15.439	chatMessage	F	G
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	the white ones have 2 white stripes and whiskers and both with and without fangs	36.104	chatMessage	F	G
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	how do you classify it?	8.664	chatMessage	F	?
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	they're all ollers	10.482000000000001	chatMessage	F	Q
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	got it	1.598	chatMessage	F	A
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	there's more...	6.956	chatMessage	F	A
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	ok	0.462	chatMessage	F	A
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	some white ones with 2 white stripes purple fin on sides and top whiskers no fangs	9.734	chatMessage	F	Q
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	sorry, this is kind of complicated. 	9.763	chatMessage	F	O
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	go on no prob	3.795	chatMessage	F	O
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	it's easiest to identify an oller as having  two body stripes, a tail stripe, whiskers. Fangs don't seem to matter	60.04	chatMessage	F	G
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	ok good job that it?	7.547999999999999	chatMessage	F	?
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	thats it?	4.473	chatMessage	F	?
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	yep	0.586	chatMessage	F	A
mp-game-6	pilot	6540-9f44bcfa-a464-499b-af02-781d05374b3c	1550000000000.0	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	thanks	0.736	chatMessage	F	A
