iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	text	reactionTime	eventType
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1542058583316	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Hello, for a creature to be dorbsy they have to have the color green or purple, or have wings on their back. 	34562	chatMessage
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1542058616650	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	By having one of those characteristics they	16887	chatMessage
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1542058622053	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	are a dorbsy	4112	chatMessage
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1542058742350	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	do you have questions?	6213	chatMessage
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1542058757655	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	no more questions	8196	chatMessage
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1542058866137	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	do you have a questions.?	24266	chatMessage
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1542058923838	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	I just want to continue with the game, was there a timer for how long we need to chat?	36384	chatMessage
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1542059030716	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	i want finish this game chat. 	19747	chatMessage
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1542059061903	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	me too, don't you have a button on your to end the chat? I only have the "send" one	18862	chatMessage
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1542059148744	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	thankyou. bye	13337	chatMessage
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1542059203877	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Ok, bye	2499	chatMessage
